real_steps,return,policy_loss,value_loss,entropy_loss,model_s_loss,model_r_loss,imag_p_loss,imag_v_loss,imag_e_loss
6486,11.0,-0.008367093279957771,12.02489948272705,-0.6865954995155334,1.2237460396136157e-05,2.0032199851508874e-05,-0.010036155581474304,1.8532233238220215,-0.6886149644851685
6514,28.0,-0.01599973253905773,68.72576904296875,-0.6916853785514832,1.2177907592558768e-05,2.588324544679684e-05,-0.02829858474433422,2.279046058654785,-0.6897268295288086
6537,23.0,-0.032441481947898865,51.688316345214844,-0.6901677846908569,1.0819078852364328e-05,1.698949896914807e-05,-0.013859646394848824,1.9412286281585693,-0.6885455250740051
6558,21.0,0.006003300193697214,45.594444274902344,-0.6833917498588562,1.2794199089209238e-05,2.9356244340306148e-05,0.0004175515496172011,1.7656950950622559,-0.681547224521637
6595,37.0,0.0005861168028786778,96.0650634765625,-0.6888904571533203,1.2791325389116537e-05,2.4701977357229527e-05,-0.017099177464842796,1.8730496168136597,-0.6884853839874268
6615,20.0,-0.04306669160723686,40.789817810058594,-0.6872425079345703,1.4240550020379791e-05,2.8641610697377473e-05,-0.01669335551559925,2.141298294067383,-0.6877442002296448
6670,55.0,-0.028091123327612877,138.56398010253906,-0.6803228259086609,1.1529107420453025e-05,2.689942690873674e-05,-0.018881715834140778,1.9136134386062622,-0.6898515224456787
6693,23.0,-0.04253872111439705,51.88914489746094,-0.6743102073669434,1.086753703323969e-05,2.3681205372364882e-05,0.020107371732592583,1.8467437028884888,-0.6783482432365417
6721,28.0,-0.0007680922280997038,69.0208969116211,-0.6822425127029419,9.866290080632703e-06,1.8489517060515936e-05,0.005213722586631775,1.9063056707382202,-0.6873055100440979
6752,31.0,-0.019780216738581657,78.50020599365234,-0.6917643547058105,1.172265547211282e-05,2.7792617402155884e-05,-0.016231831163167953,1.9889618158340454,-0.6890163421630859
6763,11.0,0.005932421889156103,11.767740249633789,-0.6918335556983948,1.3347337699087802e-05,2.0179732625062268e-05,-0.028467990458011627,1.9515849351882935,-0.6888737082481384
